OrderID,CustomerName,ProductCategory,Price,Quantity,Discount,OrderDate,TotalAmount,FinalAmount,OrderSize
1001,David,Home,357.21,4,0.1,2026-01-01 00:00:00,1428.84,1285.96,Large
1002,Alice,Toys,177.48,8,0.0,2026-01-01 01:00:00,1419.84,1419.84,Large
1003,Alice,Electronics,80.89,10,0.0,2026-01-01 02:00:00,808.9,808.9,Large
1004,Bob,Home,125.65,7,0.0,2026-01-01 03:00:00,879.55,879.55,Large
1005,Bob,Sports,462.21,6,0.0,2026-01-01 04:00:00,2773.26,2773.26,Large
1006,Eve,Sports,248.98,2,0.0,2026-01-01 05:00:00,497.96,497.96,Standard
1007,Alice,Electronics,136.45,8,0.2,2026-01-01 06:00:00,1091.6,873.28,Large
1008,Alice,Toys,39.28,4,0.15,2026-01-01 07:00:00,157.12,133.55,Standard
1009,Charlie,Sports,261.68,8,0.0,2026-01-01 08:00:00,2093.44,2093.44,Large
1010,Frank,Sports,195.59,10,0.15,2026-01-01 09:00:00,1955.9,1662.52,Large
1011,Alice,Sports,167.95,9,0.2,2026-01-01 10:00:00,1511.55,1209.24,Large
1012,Charlie,Toys,139.18,9,0.2,2026-01-01 11:00:00,1252.62,1002.1,Large
1013,Bob,Sports,155.5,4,0.15,2026-01-01 12:00:00,622.0,528.7,Large
1014,Alice,Toys,29.55,9,0.0,2026-01-01 13:00:00,265.95,265.95,Standard
1015,Bob,Home,199.25,4,0.1,2026-01-01 14:00:00,797.0,717.3,Large
1016,David,Home,481.27,8,0.1,2026-01-01 15:00:00,3850.16,3465.14,Large
1017,David,Home,225.72,1,0.15,2026-01-01 16:00:00,225.72,191.86,Standard
1018,Frank,Toys,64.38,2,0.0,2026-01-01 17:00:00,128.76,128.76,Standard
1019,David,Toys,194.13,7,0.0,2026-01-01 18:00:00,1358.91,1358.91,Large
1020,Bob,Home,313.3,3,0.1,2026-01-01 19:00:00,939.9,845.91,Large
1021,David,Home,174.52,2,0.15,2026-01-01 20:00:00,349.04,296.68,Standard
1022,Charlie,Clothing,311.38,3,0.15,2026-01-01 21:00:00,934.14,794.02,Large
1023,Eve,Sports,417.39,2,0.1,2026-01-01 22:00:00,834.78,751.3,Large
1024,Alice,Toys,470.78,6,0.15,2026-01-01 23:00:00,2824.68,2400.98,Large
1025,Bob,Electronics,264.62,4,0.0,2026-01-02 00:00:00,1058.48,1058.48,Large
1026,Eve,Toys,14.53,2,0.2,2026-01-02 01:00:00,29.06,23.25,Standard
1027,Frank,Toys,242.63,2,0.15,2026-01-02 02:00:00,485.26,412.47,Standard
1028,Alice,Home,85.58,4,0.2,2026-01-02 03:00:00,342.32,273.86,Standard
1029,Eve,Clothing,205.65,1,0.0,2026-01-02 04:00:00,205.65,205.65,Standard
1030,Bob,Clothing,307.34,7,0.2,2026-01-02 05:00:00,2151.38,1721.1,Large
1031,Alice,Toys,13.58,2,0.2,2026-01-02 06:00:00,27.16,21.73,Standard
1032,Alice,Electronics,86.95,5,0.0,2026-01-02 07:00:00,434.75,434.75,Standard
1033,David,Electronics,224.01,4,0.0,2026-01-02 08:00:00,896.04,896.04,Large
1034,Eve,Sports,16.9,7,0.15,2026-01-02 09:00:00,118.3,100.55,Standard
